;;;;;;;;;;;;;;x,,,
EVTDESC466466;The Revolution has failed. With North and South Colombia unable to connect, both territories become separate nations and the people of the Andes remain under the Feudal institutions the revolution tried to abolish. As the Kapuyan Republic loses its legitimacy, so do people begin to question to the legitimacy of Colombia. Reactionary forces are advocating for rejoining the Spanish Motherland while more Liberal factions try to promote a North Andean Federation. While regional differences grow and the future remains uncertain, one thing becomes clear: The Dream of a Pan-American nation in the New World is dead.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT466466A;This marks the birth of a new nation.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME466566;Ecuador secedes from the Union!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC466566;After the secession of Panama, Separatist crowds have gathered in Qutio, demanding for the restoration of the independent Republic of Quito. When our armed forces intervened, the violence escalated and our troops were overwhelmed. With the province in anarchy, a group of conservatives formed a provisional government and proclaimed the Republic of Ecuador!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT466566A;Let them go.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT466666B;The Union must live on!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME466666;Civil War in Colombia!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC466666;With both Ecuador and Panama seceding from the Union, militias in Bogota have now taken it upon themselves to free our central provinces from the government in Caracas. With our armed forces occupied elsewhere, we were unable to keep order and thus the officials in Bogota now proclaimed the Republic Cauca. This seems like the end of the Union.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT466666A;Death to the traitors!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME466766;The Republic of Platinea;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC466766;As the revolution failed it becomes clear that we can no longer rely on the North for support. We must go our own path and find prosperity by our own means. Long live the Platinean Republic!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT466766A;We are on our own.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME90030900;The Capital of Colombia;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC90030900;Although our nation failed to unite all Hispanics of America, we still managed to liberate the Northern Andes and Charrua. Now that we are at peace, the time has come to deal with our internal matters. The question of what city should be the Colombian capital was delayed until the war was over since it was never certain if Morelia and Montevideo would join the union. Since we are limited to the Northern Andes now, we have 4 options for our future capital:;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90030900A;Caracas, the birthplace of the Colombian nation!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90030900B;Bogota, our most populous city!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90030900C;Quito, the most fortified city!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90030900D;Colombus, a new city for all Colombians!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME90040900;The Capital of Colombia;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC90040900;The revolution was successful and the Spanish yoke is finally overthrown. Colombians across the new world celebrate the foundation of our new nation. However, the capital question remains open since the initial constitution never specified a city since it was never guaranteed that Morelia and Montevideo would join the union. Since we united all of Gran Colombia, we have 5 options for our future capital:;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90040900A;Caracas, the birthplace of the Colombian nation!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90040900B;Morelia, the capital of the old Purepecha Empire!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90040900C;Montevideo, the city of wealth and prosperity!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90040900D;Guatemala, the birthplace of the American revolution!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90040900E;Colombus, a new city for all Colombians!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121100;The Swedish-Danish Border Treaty;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121100;We received a proposal from the Swedish ambassador early this morning. Apparently the Swedish government is open to negotiate the border between the United Kingdom and Sweden. For the most part it the current border would remain in effect with only a few towns and villages being exchanged. Furthermore the Swedish embassy proposed that if we drop our claim on Øst-Trøndelag, the Swedish government in return would ratify our ownership over Göteborg. This would greatly boost our diplomatic relations in the future and open up further negotiations concerning Scandinavia, however, many in the world might see this as a weakness since we would give up a large chunk of land to the swedes.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121100A;Let's sign the treaty;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121100B;They can have Øst-Trøndelag over my dead body;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121101;Border treaty signed!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121101;The Dano-Norwegian ambassador informed us that the border treaty has been signed by a Danish-Norwegian delegation. This means the border is now finalized and that neither side claims the territory of the other anymore.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121101A;Wonderful;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121102;Border treaty declined!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121102;The Dano-Norwegian ambassador informed us that the border treaty has been declined. Apparently the Norwegians are not willing to give up Øst-Trøndelag by any means. This is a clear sign that the Dano-Norwegians will indeed attack us at some point in order to take our rightful land. However, this might be beneficial for us since we now have a valid reason to claim the entirety of Trøndelag as rightful Swedish land.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121102A;Let's not try to escalate this;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121102B;Trøndelag shall be Swedish once more;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121103;Norwegian Independence Referendum;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121103;A Norwegian delegation has approached us and asked for the permission to hold a plebiscite within the Norwegian territories. Demands for independence have increased within Norway over the past few decades and holding this plebiscite can either firmly confirm our authority over Norway or lead to their actual independence. Either way, the referendum is also being called for by a large chunk of the Norwegian populace so refusing it could lead rebellious thought spreading across our northern territories.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121103A;We support the plebiscite;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121103B;How can anyone say Norway isn't Danish?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121104;Denmark has agreed!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121104;The Danish parliament and king have both agreed to our request. We can now initiate the preperations for the referendum.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121104A;Go ahead;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121105;Denmark has refused!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121105;The Danish parliament and king have both refused our request. They are not willing to grant us independence under any circumstances. We can submit to this dictate, however, we can just as well go on and hold the referendum anyway. Should it turn out in favour of independence we can legitimize our government and declare independence without Danish approval.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121105A;Begin preperations for the referendum;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121105B;We should submit to the king's authority;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121106;Norway declares independence!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121106;The new regime in Norway has gathered in Trøndelag and decided to declare its independence from the our country! Should we acknowledge and recognize their independence or should we intervene military and reinstate our authority over the country?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121106A;Let them go;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT121106B;Restore order in Norway!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11000;The Referendum;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11000;The preperations for the upcoming referendum are complete. We are now ready to hold the vote.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11000A;Let the voting begin!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11001;Ja, vi elsker dette landet;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11001;Cheerings crowds have gathered all over Norway to celebrate the referendum. Nationalist sentiment seems to truly manifest within our populace and many seem to support independence from Denmark. Already pro-independence groups started advocating for voting "Ja" while pro-unionist groups started advocating for their side as well in an attempt to preserve the union. Either way, many consider this to be the birth of the Norwegian Nation. ;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11001A;Encourage this sentiment!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11001B;Acknowledged;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11002;Unionists march in Christiania;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11002;Despite the initial nationalist surge, the unionists now seem to have gained the edge. Using the slogan "Hjemland og Stabilitet", a large crowd of pro-unionist demonstraters moved through Christiania only to be interrupted by pro-nationalist groups. The intervention turned violent and it took over half an hour before the police was able to restore order on the streets.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11002A;The nationalists are at fault;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11002B;The unionists are at fault;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11003;Police clashed with Nationalists;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11003;Earlier today, a protest in Christiania by the nationalist movement "Hjemland" turned violent as a pro-unionist group blocked their way, causing the nationalists to attack the unionists. The police intervened in favor of the unionists, arresting many of the nationalists. Though most have been released by now, both sides blame each other for the incident.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11003A;The nationalists are at fault;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11003B;The unionists are at fault;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11004;Parliamentary Speeches;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11004;Although the parliament has no direct influence in the referendum, many politicians within parliament support either the unionist or nationalist cause. Nationalists hold speeches about the history of Norway as an independent kingdom, about it ability to prosper as an independent country and about the undemocratic process within the kingdom that leads to a one-sides Danish dominated union. Unionists on the other hand argue for the economic stability and prosperity the union provides as well as the economic and military benefits that grant our nation safety. Either way, these speeches lead to ...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11004A;... the nationalists winning over the majority.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11004B;... nothing. Parliament remains a place of debate.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11005;Nationalist Agitation;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11005;Nationalists all over the country become more and more organized, agitating for independence in all major cities and even in the countryside. They hand out flyers and organize protests in favour of the nationalist cause, winning over large chunks of the populace.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11005A;Acknowledged;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11006;Unionist Agitation;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11006;The referendum is nearing its end, leading to the unionists increasing their efforts at spreading their message across the country. Many former nationalists seem to have become insecure about the actual ability of Norway to survive as an independent country, slowly but surely favoring the unionist cause that promises them stability and security.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11006A;Interesting;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11007;Unionists lead;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11007;The current situation seems to indicate that a slight majority votes in favour of the unionist cause. Too many seem to prefer the current situation over the independence. We can try to rig the election in favour of the nationalists however and attempt to ensure our independence from Denmark. If it's exposed however, the following scandal will surely lead to a unionist victory in the election.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11007A;We must ensure our independence;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11007B;We will let the people decide;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11008;Vote rigging successful!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11008;We managed to increase the number of nationalist votes post-election and managed to keep it a secret. The final vote count will lead to a nationalist victory with a chance.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11008A;Well done!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11009;Vote rigging exposed!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11009;We tried to manipulate the number of votes in the election in favour of the nationalists, however, we have been exposed by a local newspaper who's discovery quickly spread across the entire country! The populace is enraged and a unionist victory seems certain now.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11009A;Damnit;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11010;Vote rigging failed!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11010;We were unable to rig the vote. The risk of being discovered was simply too high.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11010A;Damnit;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11011;Nationalist Victory!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11011;The final vote counts are coming in but already the final results are clear. Over 80% of the people voted in favour of independence. Celebrations across the nation have already begun, although many unionists demand a recount, even accusing us of electorial fraud. Either way, the independence of Norway is now truly legitimate.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11011A;We did it;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11012;Unionist Victory!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11012;The exposure of the attempted fraud has left the Norwegian government in a bad light. Many do not trust our government to act in their best interest and thus 77% voted to remain with the union. Nationalists have protested against the results, claiming not to be involved in the fraud and calling for a second and fair referendum. Either way, it seems that the union has prevailed for now.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11012A;Damnit;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11013;Nationalist Victory!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11013;Although it seemed that the unionists are leading, the final vote turned out be vastly in favour of the nationalist cause. 63% of the people voted "Ja", showing their support for an independent Norwegian state. Nationalists across the country celebrate the result, to the distaste of the unionists. However, many unionists have come to accept the results and even voiced their support for the future Norwegian state.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11013A;Ja, vi elsker dette landet;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11014;Unionist Victory!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11014;The final votes have been counted with the result being clear: Only 47% voted "Ja" while 53% voted to remain with Denmark. The polarization in the past few months led to many desiring stability of independence thus it seems that the union has prevailed for now. Though many nationalists protest these results, the situation seems to largely remain calm.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11014A;The people have spoken;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11015;Tied election!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11015;The most unlikely event has happened: the final vote is inconclusive. Neither nationalists or unionists managed to win a majority of the people over to their cause. A second election is being organized and the final vote will go to the parliament.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11015A;Let's hope for the best;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME110151;Parliament votes for independence!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC110151;The Parliament has voted and the majority of senators has voted in favour of independence. The government has confirmed the result. Norway will become an independent nation!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT110151A;Hurrah;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME110152;Parliament votes for preservation!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC110152;The Parliament has voted and the majority of senators has voted in favour of preservation. The government has confirmed the result. Norway will remain part of the union!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT110152A;The people have spoken;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11016;Nationalists win the referendum!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11016;The results of the Norwegian referendum have come in. The final vote led to a nationalist victory. Already the new Norwegian government has proclaimed independence from the union and declared the union to be dissolved.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11016A;Thus end 300 years of history;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11016B;The union is dissolved when we declare it to be!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME11017;Unionists win the referendum!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC11017;The referendum in Norway is over - the final result leaves the unionists victorious over the nationalists. This confirmes our authority over Norway as well as the preservation of the union.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT11017A;How could anyone say Norway isn't Danish?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME145502;Emishi Ultimatum;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC145502;Feeling threatened by our recent expansion, the administration of the Emishi sent us an ultimatum to either submit to their authority or to face their army. The tribes are divided: many see it as simply a bluff. The Emishi don't have a strong army on their own and it's doubtful that the Shogun nor Emperor is ready to start another war with the Confederacy. However, should it come to a war, then our troops are very likely to be crushed withour mercy. How should we respond?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA145502;Very well, we submit to the Emishi.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTB145502;The Ainu shall remain free!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME145503;The Ainu Refuse!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC145503;The Ainu refused to accept our ultimatum. We can mobilize our forces and call upon the Shogun for help, however, this might hurt our reputation and lead to unforseen consequences. We might also just leave the Ainu independent for now and conquer the island of Ezo in the future at the cost of them growing further in strength. How shall we respond?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA145503;This means war!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTB145503;They are not worth the trouble.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME145504;The Province of Ezo;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC145504;We have conquered the Ainu, however, we are in no position to rule their land directly, neither can we integrate it properly on our own. The newly gained land will be transfered to the Emishi for now.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA145504;Our Empire only grows in size.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME777700;The Spanish Civil War;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC777700;Spain is in chaos! In 1831 the Central American Partisans have declared rebellion against the Spanish Crown. While initially a small uprising, this quickly escalated into a full blown secessionist war between the Viceroyalties in America and the Crown of Leon in Hispania. As the situation deteriorated, liberals at home have abused the widespread unrest and started occupying cities in the south, declaring the Spanish Republic centered at Toledo. While Royalists managed to hold the northern half of Hispania, the rest of the country has fallen into Republican hands. Difficult times are ahead of Spain and if we fail to restore order soon, Iberia might become the cradle from which anarchy and chaos will spread across Europe!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT777700A;Por el rey y el país!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME777701;The Spanish Revolution;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC777701;The Revolution has begun! In 1831 our fellow comrades in Guatemala have declared rebellion against the Spanish Empire and called for an end to the feudal structures that oppress the people! While initially a minor conflict, this quickly escalated into a war of secession as Caracas, Morelia and Buenos Aires joined the revolutionaries in solidarity. Inspired by them, we have managed to secure the south of Hispania itself, establishing a provisional government in Toledo from which we will spread the revolution across all of Europe. We will put an end to feudalism and absolutism once and for all!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT777701A;Viva la revolución!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME777702;Brazilian Declaration of Independence!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
